plot_id,BK_ID,block_id,transect_id,plot_no,plot_noo,plot_date_year,plot_date_month,plot_date_day,plot_start_time_hour,plot_start_time_minute,team_leader,team_leader_qualifier,gps_no,altitude,altitude_unit_name,plot_coordinate_srs,plot_coordinate_x,plot_coordinate_y,photos_photo_n,photos_photo_e,photos_photo_s,photos_photo_w,canopy,land_use,land_use_specify,plot_condition.1.,plot_condition.2.,notes,plot_end_time_hour,plot_end_time_minute,trees_ha,ag_biomass_ha,bg_biomass_ha,total_biomass_ha,ag_carbon_ha,bg_carbon_ha,total_carbon_ha,total_co2_ha
8217,82,MAB-100,1,7,7,2016,3,21,12,19,22,,6,1110,m,EPSG:32636,499000,52000,,,,,3,2,,,,"nill, nm",12,42,260,352.8182648,84.67638355,437.4946484,176.4091324,42.33819178,218.7473242,802.073522
8218,82,MAB-100,1,8,8,2016,3,21,12,42,22,,6,1114,m,EPSG:32636,499749,52999,,,,,3,2,,,,"nill, nm",1,9,380,230.4604627,55.31051105,285.7709738,115.2302314,27.65525553,142.8854869,523.9134519
8219,82,MAB-100,1,9,9,2016,3,21,12,43,22,,6,1114,m,EPSG:32636,499749,52999,,,,,3,2,,,,"NIL, nm",1,9,440,340.6281768,81.75076243,422.3789392,170.3140884,40.87538122,211.1894696,774.3613886
82110,82,MAB-100,1,10,10,2016,3,21,13,36,22,,6,1120,m,EPSG:32636,499948,53002,,,,,3,2,,,,"NIL, nm",1,48,260,239.2427862,57.41826868,296.6610548,119.6213931,28.70913434,148.3305274,543.8786005
8411,84,MAB-100D,1,1,1,2016,4,13,15,15,2,,1,1171,m,EPSG:32636,497055,50195,,,,,2,2,,,,0,15,30,220,121.958905,29.27013721,151.2290422,60.97945251,14.6350686,75.61452111,277.2532441
8412,84,MAB-100D,1,2,2,2016,4,13,14,56,2,,1,1169,m,EPSG:32636,497152,50191,,,,,3,2,,,,0,15,13,420,330.7510386,79.38024928,410.1312879,165.3755193,39.69012464,205.065644,751.9073612
8413,84,MAB-100D,1,3,3,2016,4,13,14,40,1,,1,1154,m,EPSG:32636,497259,50188,,,,,2,2,,,,RS,14,50,260,181.5122662,43.56294389,225.0752101,90.7561331,21.78147194,112.537605,412.6378852
8414,84,MAB-100D,1,4,4,2016,4,13,22,36,1,,1,1150,m,EPSG:32636,497348,50192,,,,,3,2,,,,thiket,14,33,220,128.5205003,30.84492007,159.3654203,64.26025014,15.42246003,79.68271017,292.1699373
8415,84,MAB-100D,1,5,5,2016,4,13,13,56,2,,1,1150,m,EPSG:32636,497462,50191,,,,,1,2,,,,thiket,14,18,340,177.9470123,42.70728295,220.6542953,88.97350615,21.35364148,110.3271476,404.5328746
8416,84,MAB-100D,1,6,6,2016,4,13,13,22,1,,1,1151,m,EPSG:32636,497555,50186,,,,,3,2,,,,0,13,48,360,314.479613,75.47510711,389.9547201,157.2398065,37.73755356,194.97736,714.9169868
8417,84,MAB-100D,1,7,7,2016,4,13,12,35,1,,1,1167,m,EPSG:32636,497660,50198,,,,,3,2,,,,0,13,18,400,398.9863246,95.7567179,494.7430425,199.4931623,47.87835895,247.3715212,907.0289112
8418,84,MAB-100D,1,8,8,2016,4,13,12,29,1,,1,1167,m,EPSG:32636,497756,50189,,,,,3,2,,,,0,12,45,260,136.0245423,32.64589015,168.6704324,68.01227114,16.32294507,84.33521621,309.2291261
8419,84,MAB-100D,1,9,9,2016,4,13,12,13,1,,1,1175,m,EPSG:32636,497865,50199,,,,,2,2,,,,0,12,24,200,195.4692666,46.91262399,242.3818906,97.73463331,23.45631199,121.1909453,444.3667994
84110,84,MAB-100D,1,10,10,2016,4,13,11,40,1,,1,1155,m,EPSG:32636,497958,50194,,,,,3,2,,,,0,12,6,420,233.6133704,56.0672089,289.6805793,116.8066852,28.03360445,144.8402897,531.0810621
8511,85,MAB-100H,1,1,10,2016,3,21,10,20,10,,2,1165,m,EPSG:32636,500944,53001,,,,,2,2,,,,"NORMAL, LOGGED",10,38,280,228.830357,54.91928568,283.7496427,114.4151785,27.45964284,141.8748213,520.2076782
8512,85,MAB-100H,1,2,9,2016,3,21,10,44,10,,2,1106,m,EPSG:32636,500848,53013,,,,,2,2,,,,"SWAMPY, RS",10,57,120,66.76841486,16.02441957,82.79283443,33.38420743,8.012209783,41.39641721,151.7868631
8513,85,MAB-100H,1,3,8,2016,3,21,11,2,10,,2,1143,m,EPSG:32636,500746,53011,,,,,3,2,,,,NORMAL,11,24,380,195.2117552,46.85082126,242.0625765,97.60587762,23.42541063,121.0312883,443.7813903
8514,85,MAB-100H,1,4,7,2016,3,21,11,30,10,,2,1233,m,EPSG:32636,500674,53018,,,,,3,2,,,,NORMAL,11,43,260,206.8863261,49.65271826,256.5390444,103.443163,24.82635913,128.2695222,470.3215813
